Sample_Name,Tube.Label,ID,Species,hapCode,mtDNA_haplo,Genotype,subregion,reefName,reefGroup,x.coord,y.coord,strata
AC-CRF-TV_39,CRF-TAV-039,CRF,Acer,13,palm,U41,Upper Keys,Conch Reef,Upper B,24.946333,-80.4701667,Upper Keys_CRF_Conch Reef
AC-CRF-TV_3,CRF-TAV-003,CRF,Acer,5,palm,U3,Upper Keys,Plantation Key Patch Reef,Upper B,24.9574,-80.4923833,Upper Keys_CRF_Plantation Key Patch Reef
AC-CRF-TV_40,CRF-TAV-040,CRF,Acer,29,cerv,U42,Upper Keys,Plantation Key Patch Reef,Upper B,24.9509,-80.4936167,Upper Keys_CRF_Plantation Key Patch Reef
AC-CRF-TV_41,CRF-TAV-041,CRF,Acer,26,cerv,U43,Upper Keys,Tavernier Patch Reef 1,Upper B,24.951883,-80.4916167,Upper Keys_CRF_Tavernier Patch Reef 1
AC-CRF-TV_42,CRF-TAV-042,CRF,Acer,13,palm,U44,Upper Keys,Tavernier Patch Reef 3,Upper B,24.988117,-80.4637167,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_43,CRF-TAV-043,CRF,Acer,5,palm,U45,Upper Keys,Molasses Trench,Upper B,25.01775,-80.3958667,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_44,CRF-TAV-044,CRF,Acer,23,cerv,U46,Upper Keys,Molasses Trench,Upper B,25.013717,-80.415,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_45,CRF-TAV-045,CRF,Acer,13,palm,U47,Upper Keys,Tavernier Patch Reef 2,Upper B,24.994217,-80.4429667,Upper Keys_CRF_Tavernier Patch Reef 2
AC-CRF-TV_46,CRF-TAV-046,CRF,Acer,13,palm,U48,Upper Keys,Molasses Trench,Upper B,25.01075,-80.417,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_47,CRF-TAV-047,CRF,Acer,24,cerv,U49,Upper Keys,Molasses Trench,Upper B,25.011033,-80.41225,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_49,CRF-TAV-049,CRF,Acer,13,palm,U51,Upper Keys,Plantation Key Patch Reef,Upper B,24.9816,-80.4438,Upper Keys_CRF_Plantation Key Patch Reef
AC-CRF-TV_4,CRF-TAV-004,CRF,Acer,4,palm,U4,Upper Keys,Tavernier Patch Reef 3,Upper B,25.00785,-80.44805,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_52,CRF-TAV-052,CRF,Acer,24,cerv,U54,Upper Keys,Plantation Key Patch Reef,Upper B,24.952517,-80.4887833,Upper Keys_CRF_Plantation Key Patch Reef
AC-CRF-TV_53,CRF-TAV-053,CRF,Acer,26,cerv,U55,Upper Keys,Conch Reef,Upper B,24.9463,-80.4708,Upper Keys_CRF_Conch Reef
AC-CRF-TV_55,CRF-TAV-055,CRF,Acer,13,palm,U57,Upper Keys,Lower Matecumbe,Middle A,24.8317,-80.64195,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_56,CRF-TAV-056,CRF,Acer,33,cerv,U58,Upper Keys,Lower Matecumbe,Middle A,24.830533,-80.6437667,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_57,CRF-TAV-057,CRF,Acer,33,cerv,U59,Upper Keys,Lower Matecumbe,Middle A,24.813117,-80.6691333,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_58,CRF-TAV-058,CRF,Acer,5,palm,U60,Upper Keys,Lower Matecumbe,Middle A,24.812933,-80.6695667,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_59,CRF-TAV-059,CRF,Acer,33,cerv,U61,Upper Keys,Higdons Reef,Upper A,25.140017,-80.3146333,Upper Keys_CRF_Higdons Reef
AC-CRF-TV_5,CRF-TAV-005,CRF,Acer,12,palm,U5,Upper Keys,Tavernier Patch Reef 3,Upper B,24.988467,-80.4498833,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_60,CRF-TAV-060,CRF,Acer,10,palm,U62,Upper Keys,North Dry Rocks,Upper A,25.1356,-80.2897333,Upper Keys_CRF_North Dry Rocks
AC-CRF-TV_61,CRF-TAV-061,CRF,Acer,10,palm,U63,Upper Keys,North Dry Rocks,Upper A,25.12995,-80.2852333,Upper Keys_CRF_North Dry Rocks
AC-CRF-TV_62,CRF-TAV-062,CRF,Acer,12,palm,U64,Upper Keys,Horseshoe Reef,Upper A,25.139833,-80.29525,Upper Keys_CRF_Horseshoe Reef
AC-CRF-TV_63,CRF-TAV-063,CRF,Acer,11,palm,U65,Upper Keys,North Dry Rocks,Upper A,25.12715,-80.29455,Upper Keys_CRF_North Dry Rocks
AC-CRF-TV_64,CRF-TAV-064,CRF,Acer,13,palm,U66,Upper Keys,Tavernier Patch Reef 1,Upper B,24.969067,-80.43575,Upper Keys_CRF_Tavernier Patch Reef 1
AC-CRF-TV_65,CRF-TAV-065,CRF,Acer,12,palm,U67,Upper Keys,Lower Matecumbe,Middle A,24.80205,-80.6673667,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_67,CRF-TAV-067,CRF,Acer,13,palm,U69,Upper Keys,Lower Matecumbe,Middle A,24.80255,-80.6524,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_68,CRF-TAV-068,CRF,Acer,13,palm,U70,Upper Keys,Molasses Trench,Upper B,25.002117,-80.4011333,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_69,CRF-TAV-069,CRF,Acer,12,palm,U71,Upper Keys,Higdons Reef,Upper A,25.134383,-80.30245,Upper Keys_CRF_Higdons Reef
AC-CRF-TV_6,CRF-TAV-006,CRF,Acer,13,palm,U6,Upper Keys,Tavernier Patch Reef 3,Upper B,24.9874,-80.4519167,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_70,CRF-TAV-070,CRF,Acer,24,cerv,U72,Upper Keys,North Dry Rocks,Upper A,25.133717,-80.2843833,Upper Keys_CRF_North Dry Rocks
AC-CRF-TV_71,CRF-TAV-071,CRF,Acer,12,palm,U73,Upper Keys,Molasses Trench,Upper B,25.014683,-80.4169167,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_73,CRF-TAV-073,CRF,Acer,21,cerv,U75,Upper Keys,Lower Matecumbe,Middle A,24.813617,-80.6669667,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_74,CRF-TAV-074,CRF,Acer,12,palm,U76,Upper Keys,Lower Matecumbe,Middle A,24.821633,-80.6560833,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_75,CRF-TAV-075,CRF,Acer,13,palm,U77,Upper Keys,Lower Matecumbe,Middle A,24.813067,-80.6693333,Upper Keys_CRF_Lower Matecumbe
AC-CRF-TV_76,CRF-TAV-076,CRF,Acer,12,palm,U78,Upper Keys,Molasses Trench,Upper B,25.0183,-80.43995,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_77,CRF-TAV-077,CRF,Acer,13,palm,U79,Upper Keys,Horseshoe Reef,Upper A,25.13985,-80.2945833,Upper Keys_CRF_Horseshoe Reef
AC-CRF-TV_78,CRF-TAV-078,CRF,Acer,13,palm,U80,Upper Keys,Shallow patch reef near U10,Upper B,25.0208,-80.40085,Upper Keys_CRF_Shallow patch reef near U10
AC-CRF-TV_79,CRF-TAV-079,CRF,Acer,33,cerv,M1,Middle Keys,East Turtle Shoal,Middle B,24.721683,-80.9277833,Middle Keys_CRF_East Turtle Shoal
AC-CRF-TV_7,CRF-TAV-007,CRF,Acer,35,cerv,U7,Upper Keys,Molasses Trench,Upper B,25.00955,-80.4149667,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_80,CRF-TAV-080,CRF,Acer,27,cerv,M2,Middle Keys,East Turtle Shoal,Middle B,24.72015,-80.92875,Middle Keys_CRF_East Turtle Shoal
AC-CRF-TV_81,CRF-TAV-081,CRF,Acer,12,palm,M3,Middle Keys,East Turtle Shoal,Middle B,24.71335,-80.9447833,Middle Keys_CRF_East Turtle Shoal
AC-CRF-TV_82,CRF-TAV-082,CRF,Acer,11,palm,M5,Middle Keys,East Turtle Shoal,Middle B,24.711783,-80.9459667,Middle Keys_CRF_East Turtle Shoal
AC-CRF-TV_83,CRF-TAV-083,CRF,Acer,13,palm,M6,Middle Keys,East Turtle Shoal,Middle B,24.710817,-80.948,Middle Keys_CRF_East Turtle Shoal
AC-CRF-TV_84,CRF-TAV-084,CRF,Acer,33,cerv,M7,Middle Keys,East Turtle Shoal,Middle B,24.71845,-80.9307833,Middle Keys_CRF_East Turtle Shoal
AC-CRF-TV_85,CRF-TAV-085,CRF,Acer,35,cerv,M10,Middle Keys,West Turtle Shoal,Middle B,24.692317,-80.97575,Middle Keys_CRF_West Turtle Shoal
AC-CRF-TV_86,CRF-TAV-086,CRF,Acer,12,palm,K1,Upper Keys,Live Rock Farm,Upper B,24.9822,-80.4363,Upper Keys_CRF_Live Rock Farm
